city,year,n_events,floor_area_m2,embodied_mean_tCO2e,embodied_p05_tCO2e,embodied_p50_tCO2e,embodied_p95_tCO2e,embodied_GT_tCO2e,audit_residual_pct
Hohhot,2012,208,2094617.2762381784,1088743.1214640483,1049199.8739581963,1088220.689045619,1129262.9516703296,1094650.5946989306,-0.5396674759499052
Hohhot,2013,286,2828015.533519493,1471448.223360504,1426000.7779590215,1470902.9929153014,1519035.9788762822,1477153.0005539106,-0.386200833039461
Hohhot,2014,223,2070111.5068028856,1076907.9833085479,1041711.8744661644,1077061.0938287019,1113189.469942984,1104616.7449519176,-2.5084502629530396
Hohhot,2015,198,1797756.241891264,935696.0674835955,897585.1337677801,935099.0787894607,977935.9034335924,945268.0831705506,-1.0126244456333928
Hohhot,2016,185,1798121.8634243687,936454.8454330174,902924.2557745803,936240.3313705128,972091.4999588273,951675.5422533036,-1.5993577794641893
Hohhot,2017,151,1608774.708553077,837355.4762114976,800517.8984550016,836094.1905874787,878082.9442646716,868840.3704095774,-3.623783524611964
Hohhot,2018,132,1175542.30165997,611875.0445311907,583361.2637210408,611666.6540374462,641510.5836010544,641124.814462914,-4.562258279805722
Hohhot,2019,74,734107.6045618841,382243.12960691965,357030.9978346554,381391.8249965333,409780.4816799133,417749.01460201753,-8.49933423036886
Hohhot,2020,154,1386383.4899440815,721645.8075244756,690032.5081340686,720726.9010854104,754756.4039128134,734136.6198500236,-1.7014288604891787
Hohhot,2021,115,1032413.8928635021,537294.5602315423,512317.33172804164,537163.1573148344,562827.4708296597,526524.6393223116,2.0454732988550446
Hohhot,2022,133,1006223.6894453267,523539.3427735981,494096.58072657534,522918.5521835769,553666.616097797,527191.7695797489,-0.6928080097043804
Hohhot,2023,90,867478.4894298994,451482.8999001813,427854.40190964745,451169.84155424533,476748.91529096686,463412.2504554294,-2.5742415189767422
Hohhot,2024,82,748726.167305408,389841.8233716944,366987.0654041951,389030.92043454206,415380.58267256233,400291.88138301426,-2.610609532028163
Shenzhen,2000,306,3004068.600528666,1642372.7164381435,1581222.6890146036,1641616.972757274,1702975.7604243436,1655159.6952331124,-0.7725525719237626
Shenzhen,2001,306,3263443.563005409,1784343.5820651895,1725072.3423993033,1782590.7711841427,1850700.0230468144,1841424.9022147586,-3.0998451297641836
Shenzhen,2002,393,3445991.0449018963,1885899.017124247,1830368.3501110706,1884734.5569934007,1942348.9150766265,1960482.9359141833,-3.804364599335692
Shenzhen,2003,420,4344544.3382306015,2375563.029239341,2309166.776791697,2374755.235442734,2443490.1732894145,2473104.4608546887,-3.9440886205687335
Shenzhen,2004,556,5475136.815946953,2995299.242546111,2923702.754028765,2994951.4628630104,3067989.5851430553,3054076.236042015,-1.9245424460024945
Shenzhen,2005,580,5649079.684494737,3089672.936081535,3018503.7611588095,3089080.044068514,3165761.7577243675,3162886.7504237285,-2.3147782427677797
Shenzhen,2006,554,5694279.731430124,3113496.2313621202,3033617.309096384,3112531.0206808667,3200829.697086022,3150500.9788834695,-1.1745670853422057
Shenzhen,2007,768,7607772.00933091,4161206.5941608553,4077674.7628706945,4160736.384670578,4250362.388416862,4290691.701086423,-3.017814281384557
Shenzhen,2008,782,8228939.573740081,4500396.5021623345,4410143.4019093765,4498457.56932309,4597338.85829258,4615169.073809735,-2.486855190175242
Shenzhen,2009,989,9818951.827717964,5373736.702159433,5272894.076864505,5374182.392338399,5477065.355221406,5519275.282770899,-2.636914688161743
Shenzhen,2010,660,6706205.657288417,3667733.786477338,3584182.176901988,3667855.4450274142,3751642.8945013136,3651811.9776020264,0.4359974985833399
Shenzhen,2011,701,7121671.723763596,3897584.1231793878,3801403.3318222687,3896687.192437417,3994834.5544872084,3989897.5805787733,-2.3136798761133752
Shenzhen,2012,780,7951764.293901762,4351908.249974306,4261468.691043086,4351317.533398335,4440289.542656376,4483044.404229647,-2.925158495678003
Shenzhen,2013,671,6249563.6834884165,3418835.4851947203,3342991.3922934523,3419141.6477208794,3501208.7246060483,3431094.620976885,-0.35729518233671326
Shenzhen,2014,544,5256351.197954008,2874293.132562922,2805541.178378466,2873139.810420063,2945033.976801658,2891439.717675354,-0.5930120212299446
Shenzhen,2015,737,7654278.926591183,4186927.3720851145,4099228.5999810817,4187141.558714612,4273895.84692776,4217982.791743694,-0.7362623602772271
Shenzhen,2016,560,5941649.987110646,3252500.435665155,3176680.5482350574,3251906.329775432,3328020.757432889,3327443.220793503,-2.252263379282435
Shenzhen,2017,533,4838717.783560548,2644737.465476472,2577325.1486108615,2643434.2446138347,2712621.6794764125,2658221.572016533,-0.5072604436744523
Shenzhen,2018,413,4105249.821729292,2246582.602449922,2182501.9762943345,2245963.56566503,2312616.7864392814,2314765.969927584,-2.9455836297694926
Shenzhen,2019,370,3481015.993327518,1903084.536118081,1843812.674876801,1901865.5969769768,1964646.8055649034,1943525.7749565872,-2.080818240725905
Shenzhen,2020,407,3713443.1381633696,2031072.0932501738,1971643.2045358988,2031135.4594226386,2093448.0766764258,2124076.730706484,-4.3785912303354575
Shenzhen,2021,393,4371709.896384874,2389930.5639391397,2310771.163576047,2387981.481905556,2473853.4795608493,2468437.4927354,-3.1804300909909884
Shenzhen,2022,240,2193627.9941247897,1198435.6592002655,1149572.087805486,1197613.3012509416,1250115.5556797048,1180826.120946037,1.4912896947198715
Shenzhen,2023,282,2741142.5400605123,1500209.1226524068,1445540.2117441376,1499104.893704989,1558568.1399148912,1541822.4402128358,-2.6989695100484212
Shenzhen,2024,264,2712732.105304734,1483135.1883229546,1431692.876903803,1482213.5981502591,1538122.799070739,1524132.1287575578,-2.6898547482246924
